Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,latitude,longitude
2872340,"April 5, 2024",Arkansas,North Little Rock,116 Curtis Sykes Dr,1,3,0,0,1,N/A,34.7679638,-92.2663893
2868907,"April 1, 2024",Michigan,Eastpointe,19000 block of Dijon Ave,0,4,0,0,0,N/A,42.4686504,-82.9234475
2867279,"March 31, 2024",Tennessee,Nashville,614 Garfield St,1,5,0,0,1,N/A,36.1813787,-86.7949199
2867514,"March 31, 2024",Illinois,Chicago,400 block of N Lavergne Ave,1,3,0,0,3,N/A,41.8879738,-87.750812
2866851,"March 31, 2024",Illinois,Chicago,5333 W Madison St,1,4,0,0,0,N/A,41.8800182,-87.7589715
2867670,"March 31, 2024",Mississippi,Jackson,2050 Martin Luther King Jr Dr,0,4,0,1,0,N/A,32.3202475,-90.2014821
2867139,"March 31, 2024",Georgia,Dublin,500 block of West Ave,2,5,0,0,2,N/A,32.52809,-82.9226823
2867883,"March 31, 2024",Mississippi,Jackson,3200 block of US-80,1,3,0,0,0,N/A,32.2961978,-90.2361937
2868697,"March 31, 2024",Texas,Paris,1355 8th NE,0,4,0,0,0,N/A,33.6736184,-95.5482389
2868563,"March 31, 2024",Florida,Saint Petersburg,400 49th St S,0,4,0,0,5,N/A,27.7670733,-82.6994788
2866832,"March 30, 2024",Indiana,Indianapolis,49 W Maryland St,0,7,0,0,1,N/A,39.7665728,-86.1589609
2866920,"March 30, 2024",Connecticut,Bridgeport,1542 Stratford Ave,2,2,0,0,1,N/A,41.1799304,-73.1607825
2865719,"March 29, 2024",Alabama,Mobile,600 block of Euclid Ave,2,2,0,1,2,N/A,30.6700553,-88.0920276
2865779,"March 29, 2024",Michigan,Detroit,8203 W Chicago St,0,5,0,0,1,N/A,42.3661098,-83.150117
2864257,"March 27, 2024",Texas,Houston,3403 Love St,1,3,0,0,0,N/A,29.7921109,-95.3289475
2862335,"March 25, 2024",Florida,Pompano Beach,1750 Dr. Martin Luther King Jr. Blvd,1,3,0,0,3,N/A,26.1490824,-80.1247667
2860902,"March 24, 2024",Indiana,Indianapolis,9439 E Washington St,0,5,1,0,0,N/A,39.7725414,-86.0022256
2859623,"March 22, 2024",Louisiana,New Orleans,AP Tureau Ave and N Roman St,2,2,0,0,0,N/A,29.9750206,-90.0675508
2855294,"March 17, 2024",District of Columbia,Washington,1541 7th St NW,2,5,0,0,0,N/A,38.9107882,-77.0217335
